Reference;Region;Bioregion;WDepth;Specie;Genus;LifeForm;Core length;DBD;Mud;CaCO3;OM;Corg;;
20;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;5;;;;;1.47;;
20;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;5;;;;;1;;
20;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;5;;;;;0.71;;
21;Baltic Sea;Temperate North Atlantic;1;Zostera marina;Zostera spp.;Opportinistic;;;;;0.39;0;;
21;Baltic Sea;Temperate North Atlantic;4;Zostera marina;Zostera spp.;Opportinistic;;;;;9.93;3.762;;
22;E Australia;Tropical Indo-Pacific;;Zostera capricorni;Zostera spp.;Opportinistic;;;;1.44;1.3;0.31;;
22;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;;1.85;2.05;0.61;;
22;E Australia;Tropical Indo-Pacific;;Halophila minor;Halophila spp.;Colonising;;;;12.66;1.82;0.518;;
22;E Australia;Tropical Indo-Pacific;;Zostera capricorni;Zostera spp.;Opportinistic;;;;14.4;2.14;0.646;;
22;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;;1.94;0.55;0.01;;
22;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;;75.97;2;0.59;;
22;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;;14.39;0.96;0.174;;
22;E Australia;Tropical Indo-Pacific;;Halodule uninervis;Halodule spp.;Colonising;;;;4.45;0.51;0;;
23;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;9;;16.7;;5.105;1.832;;
23;NW America;Temperate North Pacific;;Zostera japonica;Zostera spp.;Opportinistic;15;;;;;1.43;;
23;NW America;Temperate North Pacific;;Zostera marina;Zostera spp.;Opportinistic;15;;;;;1.71;;
24;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;15;;;96;;1.22;;
24;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;15;;;98;;0.38;;
24;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;15;;;96;;0.71;;
24;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;15;;;93;;0.55;;
24;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;15;;;94;;0.47;;
24;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;15;;;88;;2.56;;
25;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;10;;0;;2;0.59;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;27.83;0.4;3.7;1.27;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;17.78;0.3;2.38;0.742;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;26;0.27;2.7;0.87;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;45.21;0.74;3.48;1.182;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;68.33;0.68;8.5;3.19;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;39.24;0.38;12.18;4.662;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;38.1;2.59;6.56;2.414;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;70.94;2.15;5.42;1.958;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;60.41;2.26;0.85;0.13;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;98.63;2.71;3.66;1.254;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;43.76;2.76;2.5;0.79;;
26;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;34.42;2.71;2.52;0.798;;
27;Mediterranean Sea;Mediterranean;4;Posidonia oceanica;Posidonia spp.;Persistent;5;;;;;9.3;;
27;Mediterranean Sea;Mediterranean;13;Posidonia oceanica;Posidonia spp.;Persistent;5;;;;;1;;
27;Mediterranean Sea;Mediterranean;17;Posidonia oceanica;Posidonia spp.;Persistent;5;;;;;4.4;;
27;Mediterranean Sea;Mediterranean;5;Posidonia oceanica;Posidonia spp.;Persistent;5;;;;;3.1;;
27;Mediterranean Sea;Mediterranean;3;Cymodocea nodosa;Cymodocea spp.;Opportinistic;5;;;;;1.6;;
28;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;0.5;;;;;2.36;;
29;Mediterranean Sea;Mediterranean;;Zostera marina;Zostera spp.;Opportinistic;20;;;;;0.69;;
29;Mediterranean Sea;Mediterranean;;Zostera marina;Zostera spp.;Opportinistic;5;;;;;0.97;;
30;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;10;;;;4.2;1.47;;
30;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;10;;;;2.8;0.91;;
30;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;10;;;;1.9;0.55;;
31;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;1;;0.02;;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;;;0.09;;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;;;0.05;;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;;;0.17;;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;;;0.05;;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;;;0.06;;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;;0.99;11.8;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;;0.75;13.5;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;;0.6;14.1;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;;0.6;12;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;;0.8;10.6;;;;
31;SW Africa;Tropical Indo-Pacific;;Thalassia hemprichii;Thalassia spp.;Persistent;;;0.92;13.4;;;;
32;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;5;;0.163;4.882;1.45;0.1;;
32;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;5;;0.49;8.248;1.824;0.165;;
32;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;5;;0.523;9.763;1.549;0.159;;
32;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;5;;0.673;3.03;1.221;0.142;;
32;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;5;;1.683;8.585;2.298;0.17;;
32;SW Asia;Tropical Indo-Pacific;;Halophila stipulacea;Halophila spp.;Colonising;5;;0.96;4.882;1.818;0.144;;
